"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 6","r-unlock","textbox 12"
"FLUSH!","ItemID: 291","""...""","Quality: 1","When used, turns every normal enemy in the room into poop!","Type: Active","Recharge Time: 4 rooms","Does not work on mini-bosses and bosses","Kills poop bosses when used - Dingle, Dangle and Brownie","Counts as 1 of 3 poop items needed towards the Oh Crap transformation","","Item Pool: Item Room"
"Satanic Bible","ItemID: 292","""Reusable evil... but at what cost?""","Quality: 4","When used, gives Isaac +1 Black Heart","Type: Active","Recharge Time: 6 rooms","Using this book once before the boss dies, causes the boss item on the current floor to become a devil deal instead, where it will cost heart containers to pick up. Taking this item DOES count as a devil deal, preventing future angel rooms.","When depleted, Black Hearts deal 40 damage to the entire room, in a Necronomicon style effect","Counts as 1 of 3 book items needed towards the Bookworm transformation","Unlock this item by beating the Isaac boss with Azazel","Item Pool: Item Room, Library, Devil Room"
"Head of Krampus","ItemID: 293","""Krampus rage""","Quality: 2","When used, fires a 4 way brimstone laser in all cardinal directions, dealing a lot of damage to any enemies","Type: Active","Recharge Time: 3 rooms","Laser damage does not scale with your damage stat - its a fixed 10 damage per tick for 20 ticks (200 total per use)","Has a chance to drop after you beat Krampus","If you get close enough to an enemy that has a large hitbox, you can hit it with 2 of the laser beams, allowing you to deal more damage","Unlock this item by beating Krampus (Krampus is unlocked by taking 20 devil deal items)","Item Pool: None (Krampus only)"
"Butter Bean","ItemID: 294","""Reusable knockback""","Quality: 1","When used, farts on nearby enemies and knocks them backwards forcefully away from Isaac","Type: Active","Recharge Time: Timed (A few seconds)","Allows you to reflect projectiles away from Isaac","If a pushed enemy hits a rock or wall forcefully enough, they take 10 damage","","Unlock this item by destroying 100 poops","Item Pool: Item Room, Beggar"
"Magic Fingers","ItemID: 295","""Pay to play""","Quality: 1","Upon use, consumes a coin and deals damage to everything in the room","Type: Active","Recharge Time: Instant","Damage dealt is equal to your tear damage * 2 + 10","","","","Item Pool: Item Room, Shop"
"Converter","ItemID: 296","""Convert your soul""","Quality: 2","When used, converts 1 soul/black heart into 1 red heart container","Type: Active","Recharge Time: 3 rooms","This item will take from your soul hearts first","","","","Item Pool: Shop"
"Pandora's Box","ItemID: 297","""? ?""","Quality: 2","When used, this item will spawn a set of items or consumables based on which chapter you are currently on","Type: Active","Recharge Time: One time use","Basement 1: 2 Soul hearts. Basement 2: 2 Bombs + 2 Keys","Caves 1: 1 Boss Item. Caves 2: 1 Boss Item + 2 Soul Hearts","Depths 1: 4 Soul hearts. Depths 2: 20 coins","Unlock this item by beating the Dark Room with Lazarus","Item Pool: Shop, Red Chest"
"Unicorn Stump","ItemID: 298","""You feel stumped""","Quality: 1","When used, turns Isaac invincible and gains +0.28 speed for a 5 seconds","Type: Active","Recharge Time: 1 room","You cannot fire tears while the stump is active","Very similar to the My Little Unicorn item but does not deal contact damage","When used with Mom's Knife, you can still deal contact damage but will be unable to change the way the knife faces while the effect is active","","Item Pool: Item Room"
"Taurus","ItemID: 299","""Speed down + rage is building""","Quality: 1","-0.3 Speed Down","Type: Passive","Item Pool: Item Room","While in a hostile room your speed raises at a rate of +0.065 per game tick","When you hit a speed stat of 2.0, Isaac will gain an invincibility effect for 5 seconds, increasing speed and allowing him to run into enemies to deal 40 contact damage per hit","The time it takes for the effect to activate becomes shorter with a higher base Speed stat","",""
"Aries","ItemID: 300","""Ramming speed""","Quality: 2","+0.25 Speed up","Type: Passive","Item Pool: Item Room","Running into enemies while at a high speed will deal 25 damage. Moving at this speed also prevents contact damage","Will not deal contact damage unless you are moving fast enough (at least 0.85 speed)","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","",""
"Cancer","ItemID: 301","""HP up + you feel protected""","Quality: 3","+3 Soul Hearts","Type: Passive","Item Pool: Item Room","After getting hit once, you gain a damage reduction for the rest of the room similar to The Wafer item (-50% damage taken)","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","",""
"Leo","ItemID: 302","""Stompy""","Quality: 1","Isaac increases in size, gets a lion's mane and now has the ability to crush rocks by walking over them","Type: Passive","Item Pool: Item Room","Crushed rocks and poop can fill holes if you walk in their direction","Allows you to crush Red Poops and sometimes not take damage. However, If you also have flying you will always take damage","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","",""
"Virgo","ItemID: 303","""You feel refreshed and protected""","Quality: 2","A random chance when you take damage to get an invincibility shield for 7 seconds","Type: Passive","Item Pool: Item Room","The chance to get an invincibility shield is affected by your luck stat and at +10 Luck it will activate every time you get hit","Converts all negative pills into their positive counterparts e.g. Stat Down becomes Stat Up, 'Bad Trip' turns into 'Balls of Steel' and 'Amnesia' turns into 'I can see forever'","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","",""
"Libra","ItemID: 304","""You feel balanced""","Quality: 1","Gives you 6 keys, 6 bombs and 6 coins","Type: Passive","Item Pool: Item Room","Balances out your main stats to bring the high and low stats closer to an average value","All future stat upgrading items will now instead spread out across all other stats. For example, an item which usually gives +1 Damage would instead give a small 'all stats up'","Stats effected by this item are: Damage, Tears, Range, Speed","",""
"Scorpio","ItemID: 305","""Poison tears""","Quality: 3","Isaac's tears turn bright green and always apply a poison effect to enemies which deals a total of double your tear damage","Type: Passive","Item Pool: Item Room","This is essentially a superior version of The Common Cold item","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","",""
"Sagittarius","ItemID: 306","""Penetrative shot + speed up""","Quality: 3","+0.2 Speed Up","Type: Passive","Item Pool: Item Room","Grants piercing tears","Tears do not travel through rocks with this item","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","",""
"Capricorn","ItemID: 307","""All stats up""","Quality: 3","+1 HP Up","Type: Passive","Item Pool: Item Room","+0.5 Damage Up","-1 Tear Delay (Tears Up)","+0.1 Speed Up","",""
"Aquarius","ItemID: 308","""A trail of tears""","Quality: 2","Leaves a trail of tears on the floor behind Isaac which damages enemies that walk over it for 2 damage per tick","Type: Passive","Item Pool: Item Room","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","Aquarius synergizes with tear effects","","",""
"Pisces","ItemID: 309","""Tears up + knockback shot""","Quality: 2","-1 Tear Delay (Tears Up)","Type: Passive","Item Pool: Item Room","x1.25 Tear Size Up","Tears now have a bigger knockback effect, which pushes enemies backwards","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","",""
"Eve's Mascara","ItemID: 310","""Shot speed down + DMG up""","Quality: 3","x2 Damage Multiplier","Type: Passive","Item Pool: Item Room","Tears Down by exactly half (Tear delay * 2)","-0.5 Shot Speed Down","The tears down from this item is a x2.0 multiplier after the formula, meaning it will always halve your tear rate (Unless you have Monstro's Lung or Soy Milk)","Unlock this item by beating Boss Rush with Eve",""
"Judas' Shadow","ItemID: 311","""Sweet revenge""","Quality: 3","When you die with this item, you respawn in the previous room as Dark Judas with 2 black hearts for health","Type: Passive","Item Pool: Devil Room","Dark Judas has a damage multiplier of 2.00 (double Isaac's damage) and an additional +0.1 Speed","Dark Judas is considered a separate character by the game, however he can be used to unlock Judas' secrets/achievements","Dark Judas cannot gain red heart containers, HP upgrades give soul hearts instead","Unlock this item by beating Boss Rush with Judas",""
"Maggy's Bow","ItemID: 312","""HP up + you feel healthy""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Item Room","Heals one red heart container when picked up","All future red hearts now heal for double. Half hearts heal a whole heart and full hearts heal 2 red hearts","","Unlock this item by beating Boss Rush with Maggy",""
"Holy Mantle","ItemID: 313","""Holy shield""","Quality: 4","Each time you enter a new room, damage is negated for the first time you get hit","Type: Passive","Item Pool: Item Room, Angel Room","Can be used to go in and out of a Curse Room without taking damage","Counts as 1 of 3 angel items needed towards the Seraphim transformation","The Lost starts with this item after donating 879 coins to the Greed Donation Machine.","",""
"Thunder Thighs","ItemID: 314","""HP + speed down + you feel strong""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Item Room","-0.4 Speed Down","You can now break obstacles by walking over them","Heals one red heart container when picked up","",""
"Strange Attractor","ItemID: 315","""Magnetic tears""","Quality: 0","Enemies and pickups (keys, bombs etc.) are now magnetically attracted to Isaac's tears","Type: Passive","Item Pool: Item Room","Can cause some enemies to have unpredictable movement","","","",""
"Cursed Eye","ItemID: 316","""Cursed charged shot""","Quality: 0","Tears are now charged up and fired rapidly in a burst of up to 5 shots at once","Type: Passive, Tear Modifier","Item Pool: Item Room, Secret Room","The amount of tears fired in the charge depends on how long you charge for","The eye has three states, white (not firing), black (first second of charging) and blinking between black and white. If you get hit while Cursed eye is a solid black colour you are guaranteed to be teleported to another random room on the floor. If you get hit in either of the other 2 states you will not be teleported","The Black Candle item will remove the Cursed Eye's teleportation effect","",""
"Mysterious Liquid","ItemID: 317","""Toxic splash damage""","Quality: 3","When Isaac's tears hit anything, they leave a green toxic creep on the floor that damages enemies for 1 damage per tick","Type: Passive","Item Pool: Item Room","","","","",""
"Gemini","ItemID: 318","""Conjoined friend""","Quality: 1","A familar that is attached to Isaac, which will seek out and damage any enemies close by for 3 contact damage","Type: Passive, Familiar","Item Pool: Item Room","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","","",""
"Cain's Other Eye","ItemID: 319","""Near sighted friend""","Quality: 2","A familiar eye that follows Isaac and copies all his tear modifiers/effects, but shoots in random directions","Type: Passive, Familiar","Item Pool: Item Room","Tears from this familiar deal 75% of Isaac's tear damage","","","Unlock this item by beating Boss Rush with Cain",""
"???'s Only Friend","ItemID: 320","""Controlled friend""","Quality: 2","A familiar fly that can be moved around via use of the arrow keys dealing 2.5 contact damage per tick, similar to the Ludovico Technique's mechanic","Type: Passive, Familiar","Item Pool: Item Room","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","","Unlock this item by beating Boss Rush with Blue Baby",""
"Samson's Chains","ItemID: 321","""The ol' ball and chain""","Quality: 1","An iron ball and chain attached to Isaac, similar to Guppy's Hairball that you can fling around to deal 5 damage per tick","Type: Passive, Familiar","Item Pool: Item Room, Secret Room","The ball will block enemy shots and can also destroy environmental objects such as rocks, mushrooms and skulls","Does not decrease your movement speed stat at all however the ball has to be dragged around causing Isaac to slow down slightly when the chain is fully extended","","Unlock this item by beating Boss Rush with Samson",""
"Mongo Baby","ItemID: 322","""Mongo friend""","Quality: 2","A familiar that will follow Isaac and copy the effect of one of your other familiars","Type: Passive, Familiar","Item Pool: Item Room","If you don't have any other familiars, he will just shoot normal tears","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","REPENTANCE - Removed the double damage multiplier on Mongo Baby's attacks","",""
"Isaac's Tears","ItemID: 323","""Collected tears""","Quality: 1","A spacebar item that fires 8 of Isaac's tears in a circle around him","Type: Active","Recharge Time: 1 bar per tear fired","Tears spawned from this item keep most effect that Isaac currently has applied to his tears, and deal an additional +5 flat damage","","","Unlock this item by beating the Isaac boss with Isaac","Item Pool: Item Room"
"Undefined","ItemID: 324","""Undefined""","Quality: 2","Upon use, teleports you to one of the following rooms at random: Item room, Secret room, Super secret room, the I AM ERROR room or the Black Market (very low chance)","Type: Active","Recharge Time: 6 rooms","There are no I AM ERROR rooms on the final floors, preventing looping with this item","","","Unlock this item by beating Boss Rush with Eden","Item Pool: Item Room"
"Scissors","ItemID: 325","""Lose your head""","Quality: 1","When used will cut your head from your body. Isaac's head will remain stationary and fire tears. His body can be controlled and spews blood nearby","Type: Active","Recharge Time: 4 rooms","Tears fired by the head do a flat 3.5 damage and don't scale","REPENTANCE - Scissors has been redesigned. The stationary head is now affected by Isaac's stats and attack modifiers, and the body will spew a controllable fountain of blood shots. Charge time increased to 4 (from 2)","","Unlock this item by dying 100 times","Item Pool: Item Room"
"Breath of Life","ItemID: 326","""Invincibility at a cost""","Quality: 1","Holding the active item button will deplete the charge bar. When the charge bar gets to zero it will grant you a brief period of invincibility","Type: Active","Recharge Time: Timed (1 bar per second)","If the spacebar is held for too long (about 1 second) when it has no charge, you will take damage","During the invincibility period, Isaac deals 3.5 contact damage to enemies and beams of light will strike down from the sky, dealing 15 damage","If damage is blocked perfectly at the exact second the charge bar reaches zero, it will release holy beams in four directions and grant a brief shile effect","","Item Pool: Angel Room"
"The Polaroid","ItemID: 327","""Fate chosen""","Quality: 2","After taking damage, if you have half a red heart or less, The Polaroid will give you an invincibility shield for 5 seconds","Type: Passive","Item Pool: None (Mom's foot boss only)","Grants access to the Chest floor","Allows you to open the door at the beginning of Depths II that leads to the Mausoluem","When unlocked, is guaranteed to drop after the Mom's Foot boss fight","Unlock this item by beating Isaac in the Cathedral 5 times",""
"The Negative","ItemID: 328","""Fate chosen""","Quality: 2","+1.0 Damage Up","Type: Passive","Item Pool: None (Mom's foot boss only)","After taking damage, if you have half a red heart or less, The Negative will deal 40 damage to all enemies in the room","Gives you access to the Dark Room floor","Allows you to open the door at the beginning of Depths II that leads to the Mausoluem","Unlock this item by beating Satan in Sheol 5 times",""
"The Ludovico Technique","ItemID: 329","""Controlled tears""","Quality: 2","You no longer shoot tears and instead now control a single large tear with the arrow keys","Type: Passive, Tear Modifier","Item Pool: Item Room","Items which increase your tears stat will cause the tear to deal damage at a faster rate","Items which increase your shot speed cause the tear to travel faster across the screen","Ludo and Brimstone create a large controllable red ring of death that does massive damage to anything in its path","",""
"Soy Milk","ItemID: 330","""DMG down + tears way up""","Quality: 2","Very high Tears Up: Tears * 5.5","Type: Passive, Tear Modifier","Item Pool: Item Room","-80% Damage Down","x0.5 Tear Size","REPENTANCE - Soy Milk tears now cause drastically less knockback","",""
"Godhead","ItemID: 331","""God tears""","Quality: 4","Isaac's tears become homing and have an aura around them, which will deal a flat 2 damage per tick to anything inside its radius","Type: Passive, Tear Modifier","Item Pool: Angel Room","+0.5 Damage Up","-0.3 Tears Down","-0.3 Shot Speed Down","Unlock this item by completing all post-it note marks in hard mode with The Lost character",""
"Lazarus' Rags","ItemID: 332","""Eternal life?""","Quality: 1","Gives Isaac an extra life on death, exactly the same as Lazarus' default respawn effect","Type: Passive","Item Pool: Item Room, Angel Room","When you die with this item, you respawn in the same room with 1 heart and the Anemic item","The game considers you to be a different character (Lazarus II) when this effect activates","","Unlock this item by beating the Isaac boss with Lazarus",""
"The Mind","ItemID: 333","""I know all""","Quality: 3","Gives Isaac a full mapping effect, revealing the entire floor and locations of all secret rooms","Type: Passive","Item Pool: Item Room, Angel Room","","","","Unlock this item by beating Satan with The Lost",""
"The Body","ItemID: 334","""I feel all""","Quality: 3","+3 Health Up","Type: Passive","Item Pool: Item Room, Angel Room","The three heart containers are pre-filled with red hearts","","","Unlock this item by beating the Chest with The Lost",""
"The Soul","ItemID: 335","""I am all""","Quality: 3","+2 Soul Hearts","Type: Passive","Item Pool: Item Room, Angel Room","Enemy projectiles will now slowly curve away from Isaac and avoid hitting him","","","Unlock this item by beating Dark Room with The Lost",""
"Dead Onion","ItemID: 336","""Toxic aura tears""","Quality: 3","Isaac's tears become large, brown and will penetrate all objects and enemies (piercing + spectral)","Type: Passive","Item Pool: Item Room","-1.2 Range Down","-0.4 Shot Speed Down","x1.5 Tear Size","",""
"Broken Watch","ItemID: 337","""I think its broken""","Quality: 1","Upon entering every 4th unexplored room, the Broken Watch will either slow down or speed up all enemies in the room","Type: Passive","Item Pool: Shop","The slow effect is much more common than the speed up","An item only found in the Shop item pool","","",""
"Boomerang","ItemID: 338","""It will never leave you""","Quality: 1","A blue boomerang which can be thrown in a similar fashion to Mom's Knife, to stun any enemies it hits and deal damage","Type: Active","Recharge Time: Timed (A few seconds)","The damage dealt by the Boomerang is equal to double your tear damage","The boomerang can also be used to grab pickups and consumables from a distance, similar to the legend of zelda boomerang","The range of the boomerang is affected by range, with number one the distance is very short and makes the item a lot less effective","","Item Pool: Shop"
"Safety Pin","ItemID: 339","""Evil up + range + shot speed""","Quality: 1","+1.5 Range Up","Type: Passive","Item Pool: Boss Room","+0.16 Shot Speed Up","+1 Black Heart","When depleted, Black Hearts deal 40 damage to the entire room, in a Necronomicon style effect","",""
"Caffeine Pill","ItemID: 340","""Speed up + size down""","Quality: 1","+0.3 Speed Up","Type: Passive","Item Pool: Boss Room","Decreases the size of Isaac, and your player hitbox, making you less likely to be hit","Gives you a random pill when picked up","An item only found in the boss room pool","",""
"Torn Photo","ItemID: 341","""Tears + shot speed up""","Quality: 3","+0.7 Tears Up","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","+0.16 Shot Speed Up","","","",""
"Blue Cap","ItemID: 342","""HP + tears + shot speed down""","Quality: 3","+1 HP Up","Type: Passive","Item Pool: Boss Room","+0.7 Tears Up","-0.16 Shot Speed Down","Heals one red heart container when picked up","",""
"Latch Key","ItemID: 343","""Luck up""","Quality: 1","+1 Luck Up","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest, Key Beggar","+1 Soul Heart","Spawns 2 keys on the ground","","",""
"Match Book","ItemID: 344","""Evil up""","Quality: 1","+1 Black Heart","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","+3 Bombs","When depleted, Black Hearts deal 40 damage to the entire room, in a Necronomicon style effect","REPENTANCE - Also drops the Match Stick trinket","",""
"Synthoil","ItemID: 345","""DMG up + range""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Boss Room","+1.5 Range Up","Counts as 1 of 3 syringe items needed towards the Spun transformation","","",""
"A Snack","ItemID: 346","""HP up""","Quality: 1","+1 HP Up","Type: Passive","Item Pool: Boss Room","Heals one red heart container when picked up","","","",""
